GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,EMP,EMP_S,PAYANN,PAYANN_S,EMPAVPW,EMPAVPW_S,HOURS,HOURS_S,PAYANPW,PAYANPW_S,CSTMTOT,CSTMTOT_S,RCPTOT,RCPTOT_S,VALADD,VALADD_S,CEXTOT,CEXTOT_S
0100000US,,United States,31-33,Manufacturing,2016,11112764,0.1,643406439,0.1,7733162,0.2,15680616,0.2,364984756,0.1,2942556208,0.1,5354694462,0.1,2408996392,0.1,168317599,0.4
0100000US,,United States,31-33,Manufacturing,2015,11168264,0.1,636220649,0.1,7813966,0.1,15989402,0.1,361550118,0.1,3114223777,0.1,5519018458,0.1,2404701743,0.1,176754840,0.2
0400000US01,1,Alabama,31-33,Manufacturing,2016,234803,0.4,12255581,0.5,176679,0.5,366802,0.5,7883931,0.5,84504309,0.3,131011841,0.3,46264355,0.5,4187468,1.4
0400000US01,1,Alabama,31-33,Manufacturing,2015,234889,0.4,12049792,0.3,177039,0.5,370143,0.5,7763441,0.4,84669969,0.3,129986952,0.3,45235034,0.4,4071138,2
0400000US02,2,Alaska,31-33,Manufacturing,2016,12178,2.8,589794,2.2,10176,3.3,20667,4.1,442323,2.6,3933483,7.8,6003375,6.9,2212462,5.2,204082,1.9
0400000US02,2,Alaska,31-33,Manufacturing,2015,13028,2.3,606728,2.2,10775,2.7,21538,3,444700,2.7,4752822,9.5,6922390,9,D,D,136927,5.4
0400000US04,4,Arizona,31-33,Manufacturing,2016,136946,1.2,9141582,0.9,82409,1.5,165611,1.5,3989891,1.4,25860107,0.6,55064569,0.5,29122054,0.6,1924308,2.4
0400000US04,4,Arizona,31-33,Manufacturing,2015,133708,1,8831172,0.8,81563,1.4,164444,1.2,3823356,1,25758086,0.5,53519548,0.4,27839035,0.6,1465302,3.2
0400000US05,5,Arkansas,31-33,Manufacturing,2016,145733,0.6,6656919,0.5,116757,0.7,238602,0.7,4720605,0.6,30511521,0.8,55730733,0.9,25095630,1.5,1994511,1.3
0400000US05,5,Arkansas,31-33,Manufacturing,2015,149339,0.6,6649069,0.4,119940,0.7,244501,0.6,4727053,0.6,33722924,0.6,59298811,0.9,25471186,1.6,2082830,1.1
0400000US06,6,California,31-33,Manufacturing,2016,1119896,0.5,73010693,0.4,706390,0.5,1421708,0.5,34022065,0.5,238271192,0.3,493164860,0.3,255635958,0.4,13062872,1.5
0400000US06,6,California,31-33,Manufacturing,2015,1127922,0.4,72489277,0.4,716038,0.5,1453392,0.5,33591873,0.4,258376294,0.3,510516192,0.3,252311392,0.3,14596515,1.4
0400000US08,8,Colorado,31-33,Manufacturing,2016,121069,1.6,7372653,1,79052,2.2,159701,1.9,3713325,1.4,24694159,1,50853388,0.9,26020429,1.1,1534982,3.7
